Chord,Note_0,Note_1,Note_2,Note_3
A major,A,C#,E,
A# major,A#,D,F,
Ab major,Ab,C,Eb,
B major,B,D#,F#,
Bb major,Bb,D,F,
C major,C,E,G,
C# major,C#,F,G#,
D major,D,F#,A,
D# major,D#,G,A#,
Db major,Db,F,Ab,
E major,E,G#,B,
Eb major,Eb,G,Bb,
F major,F,A,C,
F# major,F#,A#,C#,
G major,G,B,D,
G# major,G#,C,D#,
Gb major,Gb,Bb,Db,
A minor,A,C,E,
A# minor,A#,C#,F,
Ab minor,Ab,B,Eb,
B minor,B,D,F#,
Bb minor,Bb,Db,F,
C minor,C,Db,G,
C# minor,C#,E,G#,
D minor,D,F,A,
D# minor,D#,F#,A#,
Db minor,Db,E,Ab,
E minor,E,G,B,
Eb minor,Eb,Gb,Bb,
F minor,F,G#/Ab,C,
F# minor,F#,A,C#,
G minor,G,Bb,D,
G# minor,G#,C,D#,
Gb minor,Gb,B,Db,