C major,A minor
G major,E minor
D major,B minor
A major,F# minor
E major,C# minor
B major,G# minor
Gb  major,Eb minor
F#  major,D# minor
Db major,Bb minor
C# major,Bb minor
Ab major,F minor
Eb major,C minor
Bb major,G minor
F major,D minor
A minor,C major
E minor,G major
B minor,D major
F# minor,A major
C# minor,E major
G# minor,B major
Eb minor,Gb  major
D# minor,F#  major
Bb minor,Db major
Bb minor,C# major
F minor,Ab major
C minor,Eb major
G minor,Bb major
D minor,F major